,smiles,mass,score,rank
125,CC(=O)OC([H])(C1)C([H])(CCC1)C(C)(C)C,198.161979944,0.9022795876760199,2
126,CC(=O)OC([H])(C1)C([H])(CCC1)C(C)(C)C,198.161979944,0.8997784498230529,4
127,CC(=O)OC([H])(C1)CCC([H])(C1)C(C)(C)C,198.161979944,0.9386364034974954,1
128,CC(=O)OC([H])(C1)CCC([H])(C1)C(C)(C)C,198.161979944,0.738128273887046,6
129,[H]C(C2)(C1)C([H])(CCC2)CCC1,138.140850576,0.8535170804604019,19
130,[H]C(C2)(C1)C([H])(CCC2)CCC1,138.140850576,0.86499784288874,26
131,O=C(C1)C([H])(C2)C([H])(CCC2)CC1,152.120115132,0.8766729083554111,12
132,[H]C(C2)(C1)C([H])(CCC2)CC1,124.12520051199999,0.8978728817173707,20
133,[H]C(C2)(C1)C([H])(CCC2)CC1,124.12520051199999,0.896156780199309,16
134,CC(O1)C1C(=O)C(O)(C(C)3)C(O)C(C(O)4)(O2)C(C(=O)c(c5)c(c(O)cc5)4)(C(O)3)2,392.11073221999993,0.26118847599466327,105
135,[H]C(O)(C(OC)7[H])C([H])(C)OC(C7([H])O)(OC([H])(C([H])(O)1)C(Oc(c25)cccc(c(O)c(c64)C(Oc(c36)ccc(c3C(=O)Oc45)C)=O)2)(OC([H])(C)C1([H])O)[H])[H],640.179205704,0.7095434936895654,1
136,O=C(C(C)=O)NCC(N52)(c(c1=O)c(CC2(C(c34)(N(C)C(C5([H])C#N)([H])Cc3c(c(c(OC)c4=O)C)=O)[H])[H])c(c(c(OC)1)C)=O)[H],562.2063639200001,0.38128305294156606,4
137,CN(C(=O)1)C([H])(CC(C)C)C(=O)OC(C(N(C)C([H])(CC(C)C)C(=O)OC(C(N(C)C([H])(CC(C)C)C(=O)OC1(C(C)C)[H])=O)(C(C)C)[H])=O)(C(C)C)[H],681.456430596,0.9138136169717632,1
138,c(c7)c(C12O)c(cc7O)OC(C(=O)c(c(O)3)c(cc(O)c3C(C4C(=O)c(c6)c(O)cc(c6)O)C=C(C)CC4c(c5O)ccc(O)c5)O2)1CC=C(C)C,708.220676592,0.26786558824970713,3
139,c(c1)c(cc(o2)c1cc2c(c6)cc(c(c6O)C(C3C(=O)c(c5O)ccc(c5CC=C(C)C)O)C=C(CC(c(c(O)4)ccc(O)c4)3)C)O)O,648.235932732,0.1831989866373638,34
140,CC(C)=CCc(c(O)3)c(O)cc(c3)c(o1)c([H])c(c2)c(cc(O)c2)1,310.12050905599995,0.8818205247625572,1
141,CC(C)=CCc(c(O)3)c(O1)c(c(O)c3)C(=O)C(CC=C(C)C)=C(c(c2)c(O)cc(O)c2)1,422.17293855199995,0.533888512115541,8
142,c(c6)(cc(c(c6)C(C(C1(c(c5)c(O)cc(O)c5)[H])([H])C(c(c32)c(cc(c2C(C(=C(c(c4)c(O)cc(O)c4)O3)CC=C(C)C)=O)O)O)C=C(C)C1)=O)O)O,692.2257619720001,0.2352116118545912,15
143,O=Cc(c1)c(C)ccc1,120.057514876,0.7976677957905883,18
144,O=Cc(c1)cc(C)cc1,120.057514876,0.8408200218122689,13
145,O=Cc(c1)ccc(C)c1,120.057514876,0.844607368218639,14
146,Cc(c1)c(Br)ccc1,169.973112324,0.879451398976994,3
147,Cc(c1)cc(Br)cc1,169.973112324,0.9052253750015128,3
148,Cc(c1)ccc(Br)c1,169.973112324,0.877227428543401,4
149,CC(C)OC(=O)c(c1)ccc(N)c1,179.094628656,0.8469993017997343,6
150,CCCCOC(=O)c(c1)c(N)ccc1,193.11027872,0.8851015391465105,3
151,CC(C)COC(=O)c(c1)ccc(N)c1,193.11027872,0.8599296562296715,2
152,CC(C)COC(=O)c(c1)c(N)ccc1,193.11027872,0.8755810513931654,3
153,CCCCCOC(=O)c(c1)c(N)ccc1,207.125928784,0.8591806628221121,1
154,Cc(c1)c(Cl)ccc1,126.023627904,0.8657729100398892,5
155,Cc(c1)cc(Cl)cc1,126.023627904,0.8311476870503383,5
156,Cc(c1)ccc(Cl)c1,126.023627904,0.8948310863506755,4
157,CC(C)COC(=O)c(c1)c(F)ccc1,196.089957876,0.8638633403449402,9
158,CC(C)COC(=O)c(c1)c(Cl)ccc1,212.060407336,0.8935802211304654,7
159,CC(C)COC(=O)c(c1)c(Br)ccc1,256.009891756,0.8840008347185375,8
160,CC(C)COC(=O)c(c1)c(I)ccc1,303.996027656,0.9301449540626127,2
161,CC(C)COC(=O)c(c1)ccc(F)c1,196.089957876,0.8529934261623272,9
162,CC(C)COC(=O)c(c1)ccc(Cl)c1,212.060407336,0.901745958350688,7
163,CC(C)COC(=O)c(c1)ccc(Br)c1,256.009891756,0.8645751915690604,9
164,CC(C)COC(=O)c(c1)ccc(I)c1,303.996027656,0.9277960966213639,2
165,CCOC(=O)c(c1)cc(O)cc1,166.06299418,0.9010111856069274,2
166,CC(=O)c(c1)c(C)ccc1,134.07316494,0.8466863045238541,15
167,CC(=O)c(c1)cc(C)cc1,134.07316494,0.8259793913652618,21
168,Cc(c1)ccc(c1)C(C)=O,134.07316494,0.8165858310540967,21
169,[O-1][N+1](=O)c(c1)c(C)ccc1,137.047678464,0.839886831006732,1
170,Cc(c1)cc(cc1)[N+1]([O-1])=O,137.047678464,0.8244405259665301,2
171,Cc(c1)ccc(c1)[N+1]([O-1])=O,137.047678464,0.8944548755451394,2
172,ClCc(c1)cccc1,126.023627904,0.8677145656798451,4
173,COCc(c1)cccc1,122.07316494,0.820326538740449,8
174,COc(c1)c(C)ccc1,122.07316494,0.8871769571579325,13
175,COc(c1)cc(C)cc1,122.07316494,0.8987208927117085,5
176,Cc(c1)c(C)ccc1,106.07825032,0.8379805022506441,22
177,Cc(c1)cc(C)cc1,106.07825032,0.8639109006833785,15
178,Cc(c1)ccc(C)c1,106.07825032,0.8580378145077714,15
179,N#Cc(c1)cc(C)cc1,117.057849224,0.859310939624126,9
180,N#Cc(c1)ccc(C)c1,117.057849224,0.8758151291914071,9
181,[O-1][N+1](=O)c(c1)c(N)ccc1,138.042927432,0.8998905571204039,3
182,Nc(c1)cc(cc1)[N+1]([O-1])=O,138.042927432,0.8690391527512585,4
183,Nc(c1)ccc(c1)[N+1]([O-1])=O,138.042927432,0.9125599632143467,3
184,[O-1][N+1](=O)c(c1)c(O)ccc1,139.02694302,0.8575228963881916,6
185,Oc(c1)cc(cc1)[N+1]([O-1])=O,139.02694302,0.8103851036483076,9
186,Oc(c1)ccc(c1)[N+1]([O-1])=O,139.02694302,0.9198611429294282,1
187,COc(c1)c(ccc1)[N+1]([O-1])=O,153.042593084,0.8720606219795942,1
188,COc(c1)cc(cc1)[N+1]([O-1])=O,153.042593084,0.8633223436654375,3
189,COc(c1)ccc(c1)[N+1]([O-1])=O,153.042593084,0.866664047669814,5
190,[O-1][N+1](=O)c(c1)c(F)ccc1,141.022606588,0.8551417781388615,3
191,Fc(c1)cc(cc1)[N+1]([O-1])=O,141.022606588,0.850859489225247,3
192,Fc(c1)ccc(c1)[N+1]([O-1])=O,141.022606588,0.8470029481726823,3
193,Fc(c1)ccc(c1)[N+1]([O-1])=O,141.022606588,0.8470029481726823,3
194,Oc(c1)ccc(c1)[N+1]([O-1])=O,139.02694302,0.45665704780048283,13
195,Oc(c1)cc(cc1)[N+1]([O-1])=O,139.02694302,0.32949603343838807,43
196,[O-1][N+1](=O)c(c1)c(O)ccc1,139.02694302,0.395372186239522,7
197,CCCN,59.073499287999994,0.7565176746101872,4
198,CC(C)N,59.073499287999994,0.7521634566080099,2
199,CCCCN,73.08914935199999,0.6481071953325891,12
200,NCC(C)C,73.08914935199999,0.6574155382342504,11
201,CCC(C)N,73.08914935199999,0.8162965464811647,6
202,CC(C)(C)N,73.08914935199999,0.7030090923549789,5
203,CCCCCN,87.10479941599999,0.5767697718379914,17
204,CCCCCCN,101.12044947999999,0.5593729465994349,21
205,CCCCCCCN,115.13609954399999,0.577662830362747,18
206,CCCCCCCCN,129.151749608,0.4940760708880679,39
207,CCCCCCC(C)N,129.151749608,0.7661684643480252,5
208,CCCCC(CC)CN,129.151749608,0.5495379054895199,4
209,CC(C)(C)CC(C)(C)N,129.151749608,0.11701189104686367,28
210,CSCCC(N1)C(=O)NCC(=O)1,188.061948624,0.8605612513369053,1
211,OCC(N1)C(=O)NC(C)C(=O)1,158.06914218,0.8754669187061509,1
212,OCC(N1)C(=O)NCC(=O)1,144.053492116,0.8193061786842714,7
213,CC(C)CC(N1)C(=O)NC(C)C(=O)1,184.121177752,0.7325173653873605,7
214,CC(=C2)C(C1)C(C)(C)C(C2)1,136.125200512,0.817499113043751,59
215,C=C(C2)C(C1)C(C)(C)C(C2)1,136.125200512,0.7884535506886368,96
216,CC(C1)=C([H])CC([H])(C1)C(C)=C,136.125200512,0.8537514744532382,16
217,CC(C1)CC(O)C(C1)C(C)C,156.15141526,0.8268148503576002,18
218,CC(C2)C(C1)C(C)(C)C(C2)1,138.140850576,0.8972374350962642,15
219,CC(C1)CCC(C1)C(C)C,140.15650064,0.7915497816148662,14
220,CC(C)C([H])(C1)CCC([H])(C)C1,140.15650064,0.6945910610784706,64
221,CCCC(C)=O,86.07316494,0.7922088991961592,5
222,CC(C)C(C)=O,86.07316494,0.7806494570109596,6
223,CCCCC(C)=O,100.088815004,0.7839499471933364,12
224,CC(C)CC(C)=O,100.088815004,0.8078641528828142,12
225,CC(=O)C(C)(C)C,100.088815004,0.8432443798421151,4
226,CCCCCC(C)=O,114.104465068,0.7826902156541172,8
227,CC(C)CCC(C)=O,114.104465068,0.8184130319738792,4
228,CCCCCCC(C)=O,128.120115132,0.8475409365849791,3
229,CCCCCCCC(C)=O,142.135765196,0.8526174981122766,1
230,CCC(=O)CC,86.07316494,0.9263211961585845,1
231,CCCC(=O)CC,100.088815004,0.814012202434472,14
232,CCCCC(=O)CC,114.104465068,0.7218899241413377,9
233,CCCC(=O)CCC,114.104465068,0.7748582104374848,17
234,CCCO,60.057514876,0.7478514946091792,1
235,CC(C)O,60.057514876,0.7504072897335899,3
236,CCCCO,74.07316494,0.7754571299499509,3
237,OCC(C)C,74.07316494,0.772963770431527,6
238,CCC(C)O,74.07316494,0.7032880476815603,12
239,CC(C)(C)O,74.07316494,0.8523306882061658,2
240,CCCCCO,88.088815004,0.836222690465244,4
241,OCCC(C)C,88.088815004,0.8398983877992201,4
242,CCCC(C)O,88.088815004,0.26371012056859205,275
243,CCC(C)CO,88.088815004,0.8441392869836574,4
244,CCC(C)(C)O,88.088815004,0.6447695923646491,10
245,CCCCCCO,102.104465068,0.7893990340304604,16
246,CCCCC(C)O,102.104465068,0.7982880124301432,6
247,CCCCCCCO,116.120115132,0.7942596095466326,37
248,CCCCCCCCO,130.135765196,0.8231993256671888,13
249,CCCCCCC(C)O,130.135765196,0.7604239060014591,8
250,NCCCO,75.068413908,0.613735124991439,12
251,NCC(C)O,75.068413908,0.6898870180788501,9
252,NCCCCCO,103.099714036,0.5598467271750356,23
253,CCCC(C1)CCCC1,126.14085057599999,0.8014420224560772,15
254,CCCCC(C1)CCCC1,140.15650064,0.6776973039335669,50
255,c(c2)ccc(c2)C(=C)c(c1)cccc1,180.093900384,0.8269734308367717,16
