,smiles,mass,fp_score,rank_1,rank_2,rank_3
133,CCCCCCOC(=O)CCCCCCCCC(=O)OCc1ccccc1I,502.1580076,0.9945652173913043,3,2,2
134,OC1Cc2ccccc2Nc2ccccc21,211.099714036,0.8333333333333334,2150,531,296
135,CC(C)Oc1ccccc1OC(=O)c1ccc(Br)cc1,334.02045644000003,0.9293478260869565,174,14,10
136,CCCC(CCC)OC(=O)CCC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,430.139034944,0.9710144927536232,5,2,2
137,Cc1c(COC=O)cccc1[N+](=O)[O-],195.053157768,0.9257246376811594,2,1,1
138,CCCCCCCOC(=O)CCCCCC(=O)OCC(C)CC,328.261359632,0.9927536231884058,1,1,1
139,CCCCCCCCCCCOC(=O)CCCC(=O)Oc1c(OC)cccc1OC,422.26683893599994,0.9981884057971014,1,1,1
140,Nc1cc(Cl)c(Cl)cc1Cl,194.940932168,0.967391304347826,8,3,3
141,CCCCCCCCC(C)OC(=O)CCCCCCCCC(=O)OCCCCC,412.35526001599993,0.9909420289855072,4,1,1
142,CCCCCCCCCCCCOC(=O)CCCC(=O)Oc1cccc(Cl)c1,410.22238728,0.9981884057971014,1,1,1
143,CC(C)(C)[Si](C)(C)Oc1c([N+](=O)[O-])cc(Cl)c2cccnc12,338.08534667800006,0.8514492753623188,1,1,1
144,CCOC(=O)CCCC(=O)NC12CC3CC(CC(C3)C1)C2,293.199093724,0.9710144927536232,1,1,1
145,CCCCOC(=O)c1ccc(C(=O)OC(c2ccccc2)C(F)(F)F)cc1,380.12354374800003,0.9456521739130435,11,5,4
146,CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCC(C)Cl,382.19108715199997,0.9818840579710145,5,1,1
147,CCCCCCCCCOC(=O)CCCC(=O)OCc1ccc(F)c(F)c1,384.21121588,0.9945652173913043,99999,2,99999
148,CCCCCCCCCCCCCCOC(=O)c1ccc(C(=O)OC(C)C(C)C)cc1,432.32395988799993,0.9891304347826086,14,4,4
149,CC(C)c1ccccc1OC(=O)/C=C/C(=O)OCC(F)(F)C(F)F,348.098471872,0.9039855072463768,4,1,1
150,O=C(OCCc1ccccc1)c1ccncc1,227.094628656,0.7934782608695652,7524,1547,703
151,CCCCCCCCCCO[Si](OC(CC)CCC)(c1ccccc1)c1ccccc1,440.31105717799994,0.9927536231884058,1,1,1
152,O=C(Oc1ccc2c(=O)c(-c3ccccc3)coc2c1)C(F)(F)F,334.04529342800004,0.9728260869565217,1,1,1
153,CCCC(C)COC(=O)CCCC(=O)Oc1ccccc1F,310.15803743600003,0.9836956521739131,1,1,1
154,O=[N+]([O-])c1cc(Br)cc(Oc2ccccc2)c1,292.968755216,0.894927536231884,318,61,10
155,COc1cccc([N+](=O)[O-])c1,153.042593084,0.9927536231884058,1,1,1
156,CCOC(=O)C(C)(C)C(=O)OCC(C)(C)C,230.151809184,0.9655797101449275,6,1,1
157,COc1ccc(C)cc1,122.07316494,0.9873188405797102,2,2,2
158,CCCCCCCCC/C=C/COC(=O)CCCC(=O)Oc1cccc(C(F)(F)F)c1F,460.223672384,0.875,218,16,3
159,C#CCCOC(=O)NC(C(=O)OCCCCC)C1CCCCC1,323.209658408,0.9728260869565217,10,3,3
160,CC(C)=CCOC(=O)C(C)(C)C,170.130679816,0.9311594202898551,2,1,1
161,CCCCCCCCCCCCCCCOC(=O)c1ccc(C(=O)OCC(F)(F)C(F)(F)F)cc1,508.26120076399997,1.0,1,1,1
162,COc1ccc(CCNC(=O)CCCC(=O)OCCCC(C)C)cc1,349.225308472,0.9148550724637681,5,2,2
163,CC(C)CCCOC(=O)c1ccc(C(=O)OC(C)CC(C)C)cc1,334.21440944,0.9891304347826086,2,2,2
164,CCCCCCCCCC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,346.21440943999994,0.9039855072463768,2,1,1
165,CC(C)CC(C)Cc1ccccc1,176.15650064,0.9365942028985508,1,1,1
166,C=C[Si](C)(OCC(C)C)O[Si](C)(C=C)OC(C)CCC,316.188997944,0.9909420289855072,1,1,1
167,COC(=O)c1ccc(OC)nc1,167.058243148,0.8278985507246377,99999,438,99999
168,CC(C)C(OC(=O)c1ccccc1C(=O)OC(C(C)C)C(C)C)C(C)C,362.245709568,0.9764492753623188,3,2,2
169,CC[Si](CC)(OCCC(C)C)OCCC(C)C,260.217156794,0.9547101449275363,73,18,18
170,CCCC/C=C/C(=O)OC(C)/C=C/CCCC,238.193280072,0.9057971014492754,99999,1,99999
171,CCCCCCCCN(Cc1ccccc1)C(=O)C(CC)CCCC,345.303164868,0.9818840579710145,13,7,7
172,CC(=O)Nc1ccc(OC(C)=O)c2c1C(=O)c1ccccc1C2=O,323.079372516,0.8731884057971014,1,1,1
173,CCCCCCCCOC(=O)C1CCN(C(=O)c2ccccc2OC)CC1,375.240958536,0.9202898550724637,4,2,2
174,O=C(CCCCBr)OC/C=C/Cl,253.970919404,0.8206521739130435,1670,255,184
175,Cc1nn(C)cc1/C=N/O,139.074561908,0.9583333333333334,3,1,1
176,N#CCBr,118.937061164,0.9728260869565217,7,4,3
177,C=C(C)C#CC(CC(C)C)OC(=O)CSc1ccccc1,302.13405094399997,0.8442028985507246,265,63,20
178,NCC1COCCO1,117.078978592,0.8731884057971014,985,226,157
179,C=CCC(NC(=O)OCCCCCC)C(=O)OCCCCCC,327.240958536,0.9855072463768116,1,1,1
180,Oc1ccc2cccc(Cl)c2n1,179.013791492,0.9601449275362319,1,1,1
181,CC1SSC(C)S1,151.978813256,0.947463768115942,69,16,13
