,ind,frac,accuracy,precision,recall,f1
307,1658.0,0.6301618755951308,0.8505841782901847,0.8490229586150532,0.9291754756871036,0.8872927747796715
308,1661.0,0.5942867437012636,0.6746101188944361,0.686089164785553,0.8385928608380755,0.7547140529215488
309,1664.0,0.6981187430836143,0.8319007668948479,0.8438911022576361,0.932839107457428,0.8861386138613861
310,1665.0,0.3771778572715341,0.703433012507077,0.652401044806108,0.4460777579337821,0.5298629242819843
311,1667.0,0.18348817458887717,0.8245406351330485,0.5879556259904913,0.10539772727272727,0.178752107925801
312,1669.0,0.20564634428803047,0.8006588089968604,0.6277695716395865,0.10504201680672269,0.17997035782341733
313,1670.0,0.13746815245644287,0.8666426475886562,0.6918238993710691,0.08109104312569111,0.14516661167931375
314,1675.0,0.24835164835164836,0.7602038190334037,0.6065934065934065,0.16727272727272727,0.2622327790973872
315,1679.0,0.35970867539954193,0.7245869576406403,0.6660734149054505,0.4374634716540035,0.5280888967281065
316,1680.0,0.329850477391461,0.7478511503422719,0.6782927948600276,0.45808151247481793,0.5468504301174729
317,1681.0,0.22009419152276294,0.8014823202429359,0.6522606382978723,0.22734646581691773,0.3371713352809761
318,1683.0,0.10794966157963816,0.8977301971280045,0.6744186046511628,0.02875557759048091,0.055159296243461726
319,1684.0,0.6913400416913298,0.828452313551907,0.8376373811610816,0.9307012286484867,0.8817204301075269
320,1688.0,0.6343155673366446,0.846209274795409,0.8438009183824619,0.9283735332464146,0.8840692170404284
321,1689.0,0.2630105257739918,0.803077873282207,0.7487666034155598,0.3840763091298423,0.5077200205867216
322,1690.0,0.31855778881540003,0.7243810798291214,0.678432893716059,0.27872509960159364,0.3951202982039987
323,1692.0,0.6301618755951308,0.8491945030624325,0.8457292055203283,0.9293384703664235,0.885564755506952
324,1695.0,0.27391203644131046,0.7738432240465284,0.7008230452674897,0.3171322160148976,0.43666666666666665
325,1696.0,0.2434310420258898,0.7975191723711977,0.7226236798221234,0.27455121436114044,0.39791857973676154
326,1701.0,0.6258486244434722,0.851819445159298,0.8479650944105921,0.9292662819455895,0.8867560870078276
327,1702.0,0.6913400416913298,0.8289670080807041,0.8440882034632035,0.9245758316662962,0.8825006187900004
328,1703.0,0.8259515659984044,0.8591795769210974,0.8679317931793179,0.9792106243018494,0.9202192803405844
329,1704.0,0.5565380755076306,0.6748674661588348,0.6812726540475231,0.7818450730264375,0.7281022683252271
330,1707.0,0.40382942584347736,0.7577332852951774,0.7211847096585935,0.6387130120170564,0.6774480915507434
331,1708.0,0.4054610494891525,0.6887127489834783,0.6726259131103421,0.44607343192248855,0.5364096274720221
332,1712.0,0.694829760403531,0.7752843687271604,0.7808985311290025,0.9406974161545865,0.853381691181409
333,1713.0,0.5107908484957665,0.6712646044572547,0.6680442095146564,0.703257790368272,0.6851988762383557
334,1716.0,0.338533597549991,0.7231972824128879,0.6882579118603963,0.34987219966922267,0.4639154704944178
335,1720.0,0.4940216691973132,0.6929847135724947,0.6837487537387836,0.7105999378302766,0.6969158071236218
336,1721.0,0.2564377074915717,0.7647846003396984,0.6483516483516484,0.18872451019592162,0.29235057293279654
337,1722.0,0.40094706230537613,0.6796026558237686,0.6540796963946869,0.43916422474200534,0.5254973702263891
338,1723.0,0.15042849422240523,0.8507900561017037,0.5379310344827586,0.026804123711340205,0.05106382978723404
339,1728.0,0.3044084720899709,0.7523804621956869,0.691559569294894,0.33665877578626985,0.45286022972819284
340,1732.0,0.6591296291530484,0.744196819187812,0.7610449735449736,0.894511815920398,0.8223985134362494
341,1733.0,0.6228684664281854,0.7510422564208142,0.7644855695087024,0.8646179401993356,0.8114744514167673
342,1734.0,0.6001647064878916,0.7626743527716301,0.7725520431765613,0.8578032702679566,0.8129487647559938
343,1736.0,0.21564711634969247,0.804879304132997,0.6850180505415162,0.18067126874553677,0.2859295535882464
344,1779.0,0.10183493321666624,0.9070976375521128,0.7320954907161804,0.1393939393939394,0.23419601187950786
345,1821.0,0.1076923076923077,0.8953111328426578,0.75,0.048525214081826834,0.09115281501340483
346,1842.0,0.13057621535373293,0.8815687889237738,0.697632058287796,0.15210484511517078,0.24975546136289536
347,1905.0,0.4036904547443189,0.6802202892583252,0.6515818982779336,0.42112074543807426,0.5115950003930508
348,1918.0,0.184491854749466,0.8153276030675793,0.3333333333333333,0.0005577244841048522,0.0011135857461024498
349,1924.0,0.10128419589777904,0.902002161717021,0.0,0.0,0.0
350,2201.0,0.74311964382222,0.7814092336198466,0.7892893458366286,0.9643177582993996,0.8680687148581901
351,2202.0,0.3102504053323725,0.7273663080961449,0.6340862422997947,0.25949579831932773,0.36827668455575435
352,2203.0,0.11270041433975861,0.8883627567038962,0.75,0.004137931034482759,0.00823045267489712
353,2245.0,0.5093187842602362,0.761233208090998,0.7887079261672095,0.729537009139299,0.7579694266186675
354,2248.0,0.3494608436060427,0.7705491790622265,0.7448761742100769,0.5167357819905213,0.6101783840503673
355,2250.0,0.2532774017551535,0.8130629471408719,0.728495575221239,0.41803778184034124,0.5312338668043366
356,2251.0,0.1867462748024809,0.8486283390807555,0.7138157894736842,0.30214424951267055,0.4245744472705928
357,2252.0,0.1601976477854698,0.8666426475886562,0.7345454545454545,0.26005793369810104,0.38412170192536244
358,2253.0,0.12078647347968191,0.8913479849709197,0.6788990825688074,0.16045099739809193,0.2595580498070852
359,2254.0,0.1578351390997761,0.8621133357352412,0.736046511627907,0.20518638573743922,0.3209125475285171
360,2258.0,0.1833492034897187,0.8479592361933193,0.7287878787878788,0.2703766160764474,0.3944239442394424
361,2266.0,0.22150963790308054,0.8214009985073859,0.6790286975717439,0.3592618547068442,0.4699052856706385
362,2279.0,0.1515093805491932,0.8715322456122292,0.704136690647482,0.2654237288135593,0.38552437223042835
363,2280.0,0.11794528656355355,0.8946934994081013,0.7418918918918919,0.228369384359401,0.34923664122137404
364,2286.0,0.2554494685642227,0.7989603170518298,0.6885873347251218,0.3965931863727455,0.5033062054933876
365,2305.0,0.14213655197261754,0.8971640331463276,0.8151197604790419,0.3834507042253521,0.521551724137931
366,2314.0,0.10128934297552565,0.9326779556333317,0.8030954428202923,0.46398410332836565,0.5881612090680102
367,2348.0,0.2066037007488998,0.8251067991147254,0.6958955223880597,0.27780536246276066,0.39709013484740946
368,2351.0,0.14203875749543196,0.8819805445468115,0.7108433734939759,0.296802012217032,0.4187579214195184
369,2370.0,0.35863293615050057,0.7484173143239488,0.7354111405835544,0.47406668566543175,0.5765032056835904
370,2408.0,0.22355302776848443,0.8210407123372279,0.7688473520249222,0.28433179723502305,0.415138772077376
371,2461.0,0.13119901176107265,0.9075608626280303,0.809910641754671,0.3896053145760063,0.5261213720316623
372,2551.0,0.3442468538487274,0.7443512275464512,0.7467966573816156,0.3978335064549636,0.5191209216768322
373,2558.0,0.2231412615487557,0.8308199083843739,0.7652392947103275,0.35,0.4803162055335967
374,2573.0,0.7732043132511517,0.7893355293633229,0.7963963963963964,0.9756521739130435,0.8769577634150006
375,2581.0,0.18572715340865223,0.8151217252560605,0.5327868852459017,0.0717439293598234,0.1264591439688716
376,2743.0,0.11874308361427799,0.8803335220546605,0.5384615384615384,0.006016330038676407,0.011899702507437314
377,3052.0,0.14831304526854877,0.85506202069072,0.5822784810126582,0.04833625218914186,0.08926261319534282
378,3058.0,0.21853977404328692,0.7942251273868959,0.6612090680100756,0.1234132581100141,0.20800316957210774
379,3060.0,0.1112180559487351,0.8934067630861084,0.717391304347826,0.061366806136680614,0.11306209850107066
380,3097.0,0.590894819466248,0.6670441093211179,0.6852324987225344,0.8131496881496881,0.7437309353087984
381,3468.0,0.15790205111048203,0.8954655412012971,0.7985989492119089,0.44793713163064836,0.5739458779106357
382,3470.0,0.14666083331188717,0.8601060270729323,0.7209821428571429,0.1107681755829904,0.19203329369797859
383,3546.0,0.1335254909025401,0.867929383910649,0.16666666666666666,0.00039032006245121,0.0007788161993769471
384,3549.0,0.11570116066603187,0.8860981007771888,0.3333333333333333,0.0009045680687471732,0.0018042399639152007
385,4163.0,0.1346835833955272,0.8765762519944413,0.7602591792656588,0.13338385752178855,0.2269503546099291
386,4164.0,0.12538796098515068,0.8793556024499459,0.7765567765567766,0.08496993987975952,0.1531791907514451
387,4166.0,0.16689399593380858,0.8544958567090432,0.697786333012512,0.22390364422483014,0.3390226794482114
388,4451.0,0.569786653627403,0.6811982088630398,0.6926206621459913,0.787625873174272,0.7370744545377367
389,4452.0,0.12771958720436472,0.872458695764064,0.5137614678899083,0.02257154373236598,0.04324324324324324
