,n_1,n_2,n_3
496,33920,6920,334
497,38228,5364,1300
498,37377,6871,2173
499,37836,7589,1929
500,37203,5198,1225
501,22974,3293,2407
502,38711,7441,2281
503,33379,5670,2053
504,30194,6599,2052
505,36670,6844,2208
506,7209,945,777
507,38585,6364,1656
508,36428,7016,1902
509,32541,7542,518
510,38848,3030,237
511,36382,7108,2519
512,36312,5255,190
513,38832,7647,2291
514,5463,7107,67
515,38625,6409,1452
516,38770,6938,1832
517,23611,2997,1336
518,31847,5903,2563
519,36498,7451,1279
520,19738,6976,1266
521,35267,7100,2952
522,3758,1144,589
523,38876,7354,1959
524,23118,5529,1386
525,32279,3030,988
526,18273,5789,1421
527,17697,1686,783
528,38594,7575,2441
529,36237,6831,2784
530,20499,5647,1277
531,38723,7422,1804
532,36064,5186,1670
533,29702,624,18
534,17571,4271,953
535,37434,7323,2411
536,35354,6443,2186
537,4469,2373,213
538,17753,6864,404
539,17391,5734,1309
540,6555,837,343
541,34110,4235,1456
542,38448,7513,1849
543,28866,6470,1845
544,18023,2872,2134
545,21463,5729,2083
546,9313,7556,43
547,2260,1192,268
548,34592,4235,1407
549,5321,1556,297
550,16481,6064,657
551,38456,7328,2987
552,25762,6426,1754
553,26723,2113,760
554,32358,5759,3560
555,36203,3114,631
556,32424,7374,1139
557,30072,7543,655
558,38825,2904,249
559,38436,5396,409
560,38419,7617,2575
561,34921,5371,1889
562,38849,7473,2684
563,38354,6945,2078
564,38684,2084,101
565,19043,6582,112
566,38282,7446,2560
567,34396,6846,2088
568,31079,1724,279
569,32247,6450,2663
570,33909,6814,2050
571,22188,4858,2452
572,36662,3906,807
573,33870,7368,1644
574,21905,2123,1002
575,35743,7494,2574
576,10989,2130,529
577,34227,6756,2276
578,38880,7024,2003
579,38553,7574,2683
580,38661,7254,2605
581,24389,783,127
582,35244,4235,1343
583,36963,6947,2221
584,35102,7309,2196
585,25942,4099,2715
586,38818,6238,1192
587,38709,7420,1777
588,15538,3000,1760
589,38359,7449,3479
590,33661,5561,1941
591,37050,6847,3034
592,32685,7524,856
593,19831,1723,746
594,20029,5646,1763
595,37800,6238,1757
596,38774,7588,2468
597,34108,6890,2578
598,37900,1871,68
599,21719,6343,100
600,37411,6781,553
601,38728,6351,650
602,38999,6366,1118
603,33538,4712,137
604,30936,2266,677
605,38445,7371,2172
606,35508,283,23
607,36995,4438,857
608,38000,6278,1742
609,8369,804,359
610,38984,7473,2808
611,19088,5742,1615
612,6107,5990,134
613,16844,4835,1443
614,37585,6369,390
615,24414,4078,2749
616,25132,5023,2239
617,38725,4363,314
618,38855,6382,1272
619,36638,7326,2497
620,35544,6846,347
621,17537,1914,1393
622,28979,6379,1810
623,38182,6708,717
624,38846,4405,378
625,37674,7174,1105
626,38851,7431,2192
627,23934,2940,1249
628,22319,4652,2581
629,5582,1119,710
630,20639,2868,1112
631,10677,3297,529
632,38295,7442,2503
633,34788,4386,1218
634,30546,2998,1155
635,11096,1925,1281
636,37252,7681,775
637,38605,7318,2784
638,1017,1088,48
639,28723,2599,34
