,smiles,mass,fp_score,rank
144,O=Cc(c1)cc(C)cc1,120.057514876,0.7777777777777778,2
145,O=Cc(c1)ccc(C)c1,120.057514876,0.7936507936507936,1
146,Cc(c1)c(Br)ccc1,169.973112324,0.7613636363636364,4
147,Cc(c1)cc(Br)cc1,169.973112324,0.7640449438202247,3
148,Cc(c1)ccc(Br)c1,169.973112324,0.7738095238095238,3
149,CC(C)OC(=O)c(c1)ccc(N)c1,179.094628656,0.7869565217391304,5
150,CCCCOC(=O)c(c1)c(N)ccc1,193.11027872,0.8319672131147541,4
151,CC(C)COC(=O)c(c1)ccc(N)c1,193.11027872,0.75,1
152,CC(C)COC(=O)c(c1)c(N)ccc1,193.11027872,0.8160919540229885,4
153,CCCCCOC(=O)c(c1)c(N)ccc1,207.125928784,0.88671875,1
154,Cc(c1)c(Cl)ccc1,126.023627904,0.7345132743362832,4
155,Cc(c1)cc(Cl)cc1,126.023627904,0.7850467289719626,2
156,Cc(c1)ccc(Cl)c1,126.023627904,0.780952380952381,3
157,CC(C)COC(=O)c(c1)c(F)ccc1,196.089957876,0.8923766816143498,2
158,CC(C)COC(=O)c(c1)c(Cl)ccc1,212.060407336,0.8858447488584474,5
159,CC(C)COC(=O)c(c1)c(Br)ccc1,256.009891756,0.9117647058823529,2
160,CC(C)COC(=O)c(c1)c(I)ccc1,303.996027656,0.9137055837563451,2
161,CC(C)COC(=O)c(c1)ccc(F)c1,196.089957876,0.9423076923076923,1
162,CC(C)COC(=O)c(c1)ccc(Cl)c1,212.060407336,0.9285714285714286,2
163,CC(C)COC(=O)c(c1)ccc(Br)c1,256.009891756,0.9141414141414141,1
164,CC(C)COC(=O)c(c1)ccc(I)c1,303.996027656,0.883248730964467,1
165,CCOC(=O)c(c1)cc(O)cc1,166.06299418,0.8275862068965517,2
166,CC(=O)c(c1)c(C)ccc1,134.07316494,0.7898550724637681,3
167,CC(=O)c(c1)cc(C)cc1,134.07316494,0.8515625,2
168,Cc(c1)ccc(c1)C(C)=O,134.07316494,0.8307692307692308,1
169,[O-1][N+1](=O)c(c1)c(C)ccc1,137.047678464,0.6623376623376623,21
170,Cc(c1)cc(cc1)[N+1]([O-1])=O,137.047678464,0.6616541353383458,4
171,Cc(c1)ccc(c1)[N+1]([O-1])=O,137.047678464,0.688,1
172,ClCc(c1)cccc1,126.023627904,0.711864406779661,1
173,COCc(c1)cccc1,122.07316494,0.7378048780487805,4
174,COc(c1)c(C)ccc1,122.07316494,0.7986111111111112,2
175,COc(c1)cc(C)cc1,122.07316494,0.7642857142857142,2
176,Cc(c1)c(C)ccc1,106.07825032,0.6236559139784946,11
177,Cc(c1)cc(C)cc1,106.07825032,0.59,11
178,Cc(c1)ccc(C)c1,106.07825032,0.6451612903225806,7
179,N#Cc(c1)cc(C)cc1,117.057849224,0.7528089887640449,2
180,N#Cc(c1)ccc(C)c1,117.057849224,0.7415730337078652,1
181,[O-1][N+1](=O)c(c1)c(N)ccc1,138.042927432,0.9145299145299145,3
182,Nc(c1)cc(cc1)[N+1]([O-1])=O,138.042927432,0.8203125,2
183,Nc(c1)ccc(c1)[N+1]([O-1])=O,138.042927432,0.9727272727272728,1
184,[O-1][N+1](=O)c(c1)c(O)ccc1,139.02694302,0.9096774193548387,3
185,Oc(c1)cc(cc1)[N+1]([O-1])=O,139.02694302,0.9261744966442953,2
186,Oc(c1)ccc(c1)[N+1]([O-1])=O,139.02694302,0.9054054054054054,1
187,COc(c1)c(ccc1)[N+1]([O-1])=O,153.042593084,0.9314285714285714,1
188,COc(c1)cc(cc1)[N+1]([O-1])=O,153.042593084,0.9764705882352941,1
189,COc(c1)ccc(c1)[N+1]([O-1])=O,153.042593084,0.9700598802395209,1
190,[O-1][N+1](=O)c(c1)c(F)ccc1,141.022606588,0.9193548387096774,3
191,Fc(c1)cc(cc1)[N+1]([O-1])=O,141.022606588,0.95,2
192,Fc(c1)ccc(c1)[N+1]([O-1])=O,141.022606588,0.9256198347107438,1
193,Fc(c1)ccc(c1)[N+1]([O-1])=O,141.022606588,0.9256198347107438,1
194,Oc(c1)ccc(c1)[N+1]([O-1])=O,139.02694302,0.5,35
195,Oc(c1)cc(cc1)[N+1]([O-1])=O,139.02694302,0.5,113
196,[O-1][N+1](=O)c(c1)c(O)ccc1,139.02694302,0.6981132075471698,3
197,CCCN,59.073499287999994,0.7659574468085106,1
198,CC(C)N,59.073499287999994,0.53125,1
199,CCCCN,73.08914935199999,0.7049180327868853,1
200,NCC(C)C,73.08914935199999,0.5147058823529411,5
201,CCC(C)N,73.08914935199999,0.6666666666666666,1
202,CC(C)(C)N,73.08914935199999,0.29333333333333333,53
203,CCCCCN,87.10479941599999,0.6103896103896104,2
204,CCCCCCN,101.12044947999999,0.6626506024096386,1
205,CCCCCCCN,115.13609954399999,0.5568181818181818,5
206,CCCCCCCCN,129.151749608,0.5666666666666667,2
207,CCCCCCC(C)N,129.151749608,0.5959595959595959,9
208,CCCCC(CC)CN,129.151749608,0.5568181818181818,3
209,CC(C)(C)CC(C)(C)N,129.151749608,0.37894736842105264,171
210,CSCCC(N1)C(=O)NCC(=O)1,188.061948624,0.5454545454545454,1
211,OCC(N1)C(=O)NC(C)C(=O)1,158.06914218,0.474025974025974,14
212,OCC(N1)C(=O)NCC(=O)1,144.053492116,0.5290322580645161,27
213,CC(C)CC(N1)C(=O)NC(C)C(=O)1,184.121177752,0.5380116959064327,58
214,CC(=C2)C(C1)C(C)(C)C(C2)1,136.125200512,0.6947368421052632,32
215,C=C(C2)C(C1)C(C)(C)C(C2)1,136.125200512,0.6666666666666666,18
216,CC(C1)=C([H])CC([H])(C1)C(C)=C,136.125200512,0.7789473684210526,6
217,CC(C1)CC(O)C(C1)C(C)C,156.15141526,0.8962264150943396,1
218,CC(C2)C(C1)C(C)(C)C(C2)1,138.140850576,0.5238095238095238,207
219,CC(C1)CCC(C1)C(C)C,140.15650064,0.5512820512820513,126
220,CC(C)C([H])(C1)CCC([H])(C)C1,140.15650064,0.24719101123595505,871
221,CCCC(C)=O,86.07316494,0.5138888888888888,14
222,CC(C)C(C)=O,86.07316494,0.5066666666666667,17
223,CCCCC(C)=O,100.088815004,0.7307692307692307,2
224,CC(C)CC(C)=O,100.088815004,0.6666666666666666,1
225,CC(=O)C(C)(C)C,100.088815004,0.75,1
226,CCCCCC(C)=O,114.104465068,0.686046511627907,13
227,CC(C)CCC(C)=O,114.104465068,0.6129032258064516,7
228,CCCCCCC(C)=O,128.120115132,0.6288659793814433,38
229,CCCCCCCC(C)=O,142.135765196,0.7755102040816326,4
230,CCC(=O)CC,86.07316494,0.8823529411764706,1
231,CCCC(=O)CC,100.088815004,0.6056338028169014,4
232,CCCCC(=O)CC,114.104465068,0.5975609756097561,10
233,CCCC(=O)CCC,114.104465068,0.4691358024691358,44
234,CCCO,60.057514876,0.6458333333333334,2
235,CC(C)O,60.057514876,0.8043478260869565,1
236,CCCCO,74.07316494,0.4883720930232558,13
237,OCC(C)C,74.07316494,0.5373134328358209,8
238,CCC(C)O,74.07316494,0.5949367088607594,8
239,CC(C)(C)O,74.07316494,0.4383561643835616,24
240,CCCCCO,88.088815004,0.6708860759493671,1
241,OCCC(C)C,88.088815004,0.4605263157894737,30
242,CCCC(C)O,88.088815004,0.5875,10
243,CCC(C)CO,88.088815004,0.47058823529411764,15
244,CCC(C)(C)O,88.088815004,0.336734693877551,111
245,CCCCCCO,102.104465068,0.7142857142857143,2
246,CCCCC(C)O,102.104465068,0.6585365853658537,12
247,CCCCCCCO,116.120115132,0.4956521739130435,42
248,CCCCCCCCO,130.135765196,0.5130434782608696,58
249,CCCCCCC(C)O,130.135765196,0.693069306930693,10
250,NCCCO,75.068413908,0.7183098591549296,1
251,NCC(C)O,75.068413908,0.6197183098591549,2
252,NCCCCCO,103.099714036,0.5340909090909091,3
253,CCCC(C1)CCCC1,126.14085057599999,0.7014925373134329,1
254,CCCCC(C1)CCCC1,140.15650064,0.35135135135135137,359
255,c(c2)ccc(c2)C(=C)c(c1)cccc1,180.093900384,0.8181818181818182,2
256,C(CC(c(c4)cccc4)c(c3)cccc3)C(c(c2)cccc2)c(c1)cccc1,362.203450832,0.6578947368421053,1
257,COC(=O)CNC(=O)CNC(C)=O,188.079706864,0.5755395683453237,1
258,COC(=O)C([H])(C)NC(=O)C([H])(C)NC(C)=O,216.111006992,0.5960264900662252,8
259,COC(=O)CNC(=O)CNC(=O)CNC(C)=O,245.10117058,0.8482758620689655,1
260,COC(=O)C([H])(C)NC(=O)CNC(=O)CNC(C)=O,259.11682064400003,0.49382716049382713,3
261,COC(=O)CNC(=O)C([H])(C)NC(=O)CNC(C)=O,259.11682064400003,0.4177215189873418,3
262,COC(=O)CNC(=O)C([H])(C)NC(=O)C([H])(C)NC(C)=O,273.132470708,0.7125,1
263,COC(=O)C([H])(C)NC(=O)C([H])(C)NC(=O)CNC(C)=O,273.132470708,0.46875,1
264,COC(=O)C([H])(C)NC(=O)C([H])(C)NC(=O)C([H])(C)NC(C)=O,287.148120772,0.7549668874172185,2
265,COC(=O)c(c1)cccc1,136.052429496,0.6748466257668712,25
266,CCOC(=O)c(c1)cccc1,150.06807956,0.679144385026738,8
267,CC(C)OC(=O)c(c1)cccc1,164.083729624,0.34054054054054056,998
268,CC(C)COC(=O)c(c1)cccc1,178.099379688,0.8398058252427184,2
269,CC(C)COC(=O)c(c1)cccc1,178.099379688,0.7437185929648241,1
270,CC(C)CCOC(=O)c(c1)cccc1,192.115029752,0.642512077294686,1
271,CCCNC(C)=O,101.084063972,0.4019607843137255,65
272,CC(C)NC(C)=O,101.084063972,0.4845360824742268,15
273,CCCCNC(C)=O,115.099714036,0.7083333333333334,3
274,CC(C)CNC(C)=O,115.099714036,0.39316239316239315,75
275,CCC(C)NC(C)=O,115.099714036,0.625,2
276,CCCCCNC(C)=O,129.1153641,0.6564885496183206,7
